problem_name,objective_func,elapsed_time
LS_7,0.9008938658732869,0.032
LS_8,0.8630350899532491,0.031
LS_9,0.7487322639571784,0.031
MB_1,0.7526669466006096,0.016
MB_10,0.8062204164452724,0.0
MB_11,0.7941496440063864,0.0
MB_12,0.8338703346531524,0.0
MB_13,0.8141357033097817,0.0
MB_14,0.9624315932328354,0.016
MB_15,0.8255519349946042,0.0
MB_16,0.8984752032551858,0.015
MB_17,0.8643339836908893,0.0
MB_18,0.8741130404346578,0.0
MB_19,0.873489708690189,0.0
MB_2,0.8721040529265286,0.0
MB_20,0.880660989587875,0.016
MB_3,0.7960850498991486,0.0
MB_4,0.7880857035928545,0.015
MB_5,0.7852078205052525,0.0
MB_6,0.7871138772268436,0.0
MB_7,0.7498975875951861,0.0
MB_8,0.6412534002905573,0.0
MB_9,0.8079065223578794,0.015
ME_1,1.7676542374109924e-05,0.0
ME_10,9.97932922700625e-19,0.0
ME_11,2.913082937996756e-12,0.0
ME_12,1.0764226961915536e-11,0.0
ME_13,2.549491771058494e-19,0.016
ME_14,3.226224313881758e-17,0.0
ME_15,8.993464184061016e-12,0.0
ME_16,2.5673271885423766e-07,0.015
ME_17,0.0012599127329027617,0.0
ME_18,1.7062237700190235e-14,0.0
ME_19,2.452618509235192e-05,0.016
ME_2,7.509096194219063e-07,0.0
ME_20,6.123759263566205e-06,0.0
ME_3,1.2082162299272975e-05,0.016
ME_4,7.473975956881629e-14,0.0
ME_5,9.489605194633519e-19,0.0
ME_6,1.3059991812650702e-05,0.015
ME_7,3.80454472420067e-05,0.0
ME_8,0.0005614884166886458,0.0
ME_9,1.3658413622479609e-11,0.016
MS_1,0.9061072924285107,0.0
MS_10,0.9287803898526873,0.015
MS_11,0.7970544506305869,0.0
MS_12,0.8696666440646046,0.0
MS_13,0.9144849053246548,0.0
MS_14,0.9140486340867,0.0
MS_15,0.9081076185437154,0.0
MS_16,0.8381599081069397,0.0
MS_17,0.9147048260811064,0.015
MS_18,0.8860597677484708,0.0
MS_19,0.8627575360931943,0.016
MS_2,0.9160614306856506,0.0
MS_20,0.7899081205623087,0.016
MS_3,0.8732422588778102,0.0
MS_4,0.8297266344651242,0.015
MS_5,0.8827377176877842,0.0
MS_6,0.9372186095903628,0.0
MS_7,0.8194948764001195,0.0
MS_8,0.9039445427565861,0.0
MS_9,0.7638576202972567,0.015
SB_1,0.912333085949682,0.0
SB_10,0.7708420004489581,0.0
SB_11,0.7019492638663946,0.0
SB_12,0.6295975060677386,0.0
SB_13,0.791694464031085,0.016
SB_14,0.8198359815379409,0.0
SB_15,0.812376391860939,0.0
SB_16,0.7553559000919384,0.0
SB_17,0.7069628650376388,0.0
SB_18,0.7053792559693125,0.0
SB_19,0.8068790484845364,0.0
SB_2,0.7224500075816374,0.0
SB_20,0.7749542476591701,0.0
SB_3,0.8514660081463483,0.0
SB_4,0.7204169221820198,0.0
SB_5,0.8554761354904542,0.0
SB_6,0.7015195342038295,0.015
SB_7,0.7116933949286013,0.0
SB_8,0.798713489607747,0.0
